2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1.2092,1.3064,1.3898,1.4229,1.2807,1.6166,1.6539,1.6811,1.6615,1.5759
1.0283,1.1256,1.2086,1.241,1.2172,1.4164,1.4525,1.4796,1.4659,1.3944
0.9866,1.0787,1.1561,1.183,1.2068,1.3403,1.373,1.3974,1.3832,1.3143
0.9798,1.071,1.1476,1.1736,1.219,1.3142,1.3441,1.3661,1.3502,1.2806
0.9878,1.08,1.1577,1.1847,1.2384,1.3189,1.3408,1.3609,1.3431,1.2715
1.0005,1.0943,1.1737,1.2023,1.2657,1.3335,1.3506,1.3695,1.3503,1.2768
1.0186,1.1147,1.1964,1.2274,2.9826,1.3542,1.3647,1.3821,1.3608,1.2846
2.5004,2.7218,2.9668,2.9562,3.2446,3.1138,2.9003,2.8728,2.7586,2.5233
2.7076,2.938,3.2011,3.2042,3.6554,3.3673,3.1308,3.0993,2.9742,2.7181
3.0479,3.2877,3.5751,3.5962,3.7451,3.7749,3.5044,3.467,3.3246,3.0354
3.0905,3.3403,3.6407,3.6737,3.638,3.8512,3.5807,3.5443,3.4006,3.1071
3.0007,3.2483,3.5426,3.5712,3.4224,3.7665,3.5313,3.503,3.3692,3.0883
2.8261,3.0676,3.3481,3.3663,3.4135,3.5632,3.3559,3.3332,3.2107,2.9487
2.8178,3.0592,3.3394,3.3575,3.5326,3.5533,3.3464,3.3238,3.2017,2.9404
2.9355,3.1753,3.458,3.4764,3.5881,3.6742,3.4472,3.4205,3.291,3.0179
2.9806,3.2219,3.5082,3.5292,3.7146,3.7283,3.4961,3.4683,3.3362,3.0585
3.0833,3.3282,3.6225,3.6495,4.4561,3.8541,3.6128,3.5833,3.4461,3.1582
3.6991,3.9606,4.2984,4.3576,4.5274,4.6041,4.3174,4.2809,4.1154,3.7698
3.7575,4.0211,4.3633,4.4257,4.2842,4.6753,4.3834,4.3461,4.1777,3.8264
3.5588,3.8158,4.1429,4.1941,4.0331,4.4404,4.1747,4.1425,3.9857,3.6549
3.3488,3.6003,3.913,3.9537,2.1091,4.1947,3.9553,3.9279,3.7827,3.4729
3.0878,3.3287,2.0944,2.0575,1.6664,2.8705,2.7878,2.791,2.7126,2.5197
1.4571,1.5567,1.6438,1.6813,1.6052,1.8957,1.9299,1.9555,1.9262,1.8193
1.3735,1.4638,1.5412,1.569,1.5253,1.7703,1.7973,1.8206,1.7928,1.6926
1.3248,1.4074,1.4769,1.4969,1.4508,1.6928,1.717,1.7395,1.7132,1.6179
1.2703,1.3482,1.4127,1.4277,1.3633,1.6175,1.6408,1.6627,1.638,1.5473
1.1976,1.2721,1.3329,1.3441,1.2957,1.5271,1.5533,1.5755,1.5537,1.4695
1.1334,1.2074,1.2674,1.2777,1.3325,1.455,1.4862,1.5092,1.4902,1.4117
1.1772,1.2493,1.3075,1.3161,1.4184,1.4991,1.5273,1.5498,1.5291,1.4471
1.2412,1.3185,1.3822,1.3963,1.4159,1.5932,1.6278,1.6525,1.6312,1.5447
1.2284,1.3083,1.3746,1.3912,2.559,1.6197,1.6601,1.6901,1.6733,1.5904
2.1553,2.3649,2.5834,2.5529,2.9666,2.7891,2.7216,2.728,2.6549,2.4704
2.4676,2.6928,2.9416,2.9354,3.29,3.208,3.1418,3.151,3.0686,2.8576
2.7306,2.9647,3.2339,3.243,3.3645,3.5466,3.4781,3.4888,3.398,3.1648
2.7677,3.0094,3.2889,3.3076,3.315,3.6204,3.5635,3.578,3.4887,3.2538
2.727,2.9675,3.2441,3.2605,3.2005,3.5747,3.5257,3.5418,3.4553,3.2249
2.6312,2.8694,3.1394,3.151,3.175,3.4621,3.4244,3.4425,3.3612,3.1402
2.6132,2.8498,3.1175,3.1273,3.0892,3.4459,3.4193,3.4401,3.3617,3.1441
2.5421,2.7769,3.0395,3.0455,3.0823,3.3637,3.3476,3.3705,3.2965,3.0863
2.5384,2.7723,3.034,3.0393,3.1432,3.3585,3.3434,3.3663,3.2925,3.0827
2.5874,2.8234,3.0891,3.0972,3.9635,3.4065,3.3722,3.3906,3.3112,3.0942
3.2819,3.5336,3.8443,3.8845,3.9934,4.2267,4.121,4.1265,4.0112,3.7267
3.3155,3.566,3.8764,3.9156,3.62,4.2581,4.1455,4.1495,4.0319,3.744
3.0058,3.2475,3.5358,3.5588,3.4415,3.8853,3.8017,3.8106,3.7085,3.4506
2.8765,3.1095,3.3828,3.3932,1.8969,3.7175,3.6466,3.6576,3.562,3.3172
2.7397,2.9666,1.8956,1.8622,1.6416,2.6737,2.7212,2.7548,2.7105,2.5566
1.3911,1.486,1.5682,1.6006,1.4805,1.999,2.0669,2.1199,2.1155,2.0297
1.2293,1.3253,1.4077,1.4401,1.5239,1.8237,1.8908,1.9441,1.9452,1.8721
1.3011,1.3895,1.4647,1.4902,1.3989,1.8506,1.9122,1.9602,1.9551,1.8747
1.2105,1.2907,1.3572,1.3741,1.2109,1.7186,1.7773,1.8233,1.8202,1.747
1.0401,1.1168,1.179,1.1912,1.1937,1.5366,1.5966,1.645,1.6496,1.5919
1.0456,1.1165,1.1729,1.1795,1.2376,1.5305,1.5905,1.6391,1.644,1.5868
1.111,1.1762,1.2271,1.2285,1.2189,1.5946,1.6557,1.7048,1.7085,1.6474
1.1,1.1631,1.2121,1.2116,1.1922,1.6065,1.6723,1.7256,1.7333,1.6758
1.0795,1.1411,1.1885,1.1865,1.7504,1.5979,1.6665,1.7226,1.7333,1.6792
1.4172,1.6618,1.8367,1.7757,2.0638,2.1683,2.2348,2.2856,2.2739,2.1738
1.6208,1.8912,2.0965,2.0618,2.4991,2.5023,2.5783,2.6359,2.6215,2.5048
2.0151,2.2444,2.4811,2.4713,2.7725,2.9174,2.9945,3.0508,3.0227,2.8752
2.2417,2.4771,2.73,2.7322,2.7202,3.1805,3.258,3.3135,3.2767,3.1096
2.193,2.429,2.6801,2.6813,2.6786,3.112,3.187,3.2405,3.2037,3.0393
2.1601,2.3946,2.6429,2.6419,2.8748,3.0718,3.1466,3.2002,3.1646,3.0032
2.3284,2.566,2.8245,2.8306,2.7536,3.2678,3.3432,3.3963,3.3543,3.1784
2.2308,2.4649,2.7155,2.7156,2.6782,3.1619,3.2389,3.2941,3.2575,3.0913
2.1735,2.4046,2.6496,2.645,2.7407,3.0816,3.1571,3.2113,3.1761,3.0147
2.2261,2.4586,2.7071,2.705,3.5307,3.1087,3.1784,3.227,3.1853,3.0161
2.8829,3.1336,3.4284,3.4601,3.5965,3.8488,3.8692,3.9029,3.825,3.5901
2.9398,3.1913,3.4894,3.5235,3.6117,3.9001,3.8967,3.9249,3.8404,3.5974
2.9696,3.2176,3.5124,3.5427,3.6226,3.9143,3.8963,3.9211,3.8329,3.586
3.0162,3.2557,3.5421,3.5632,1.9448,3.9314,3.8934,3.9132,3.8197,3.5674
2.7659,2.9957,1.9437,1.9094,1.668,2.8036,2.8691,2.9154,2.8803,2.7303
1.4323,1.5231,1.6015,1.6304,1.536,2.111,2.1912,2.2549,2.2582,2.1757
1.3324,1.4156,1.4859,1.5068,1.5184,1.9782,2.0568,2.1198,2.1263,2.0524
1.3222,1.4036,1.4721,1.4911,1.4468,1.8635,1.9277,1.9785,1.976,1.8977
1.2661,1.344,1.4085,1.4235,1.3759,1.7835,1.8456,1.895,1.8934,1.8192
1.2041,1.28,1.3423,1.3551,1.3427,1.6989,1.7588,1.8065,1.8058,1.736
1.1775,1.2519,1.3125,1.3236,1.3697,1.6604,1.7192,1.7661,1.7656,1.6977
1.1996,1.2751,1.337,1.3494,1.4749,1.6976,1.7582,1.8065,1.8065,1.7374
1.2781,1.3599,1.4285,1.4476,1.5527,1.8011,1.8627,1.9115,1.9088,1.8328
1.3141,1.4062,1.4854,1.5149,3.2488,1.8489,1.9087,1.9555,1.9494,1.868
2.6881,2.9235,3.1922,3.2016,4.018,3.5076,3.4509,3.4647,3.378,3.1503
3.2918,3.5533,3.8758,3.9273,4.4936,4.2851,4.2042,4.2158,4.1045,3.8209
3.6393,3.9229,4.2849,4.3691,4.9999,4.7443,4.6413,4.6499,4.5227,4.2049
4.0765,4.3662,4.7536,4.8559,5.0098,5.2507,5.0998,5.1001,4.9505,4.591
4.0722,4.3665,4.7578,4.8633,4.9421,5.2447,5.0814,5.0787,4.9264,4.5647
