2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045
1.969081493,1.22208683,1.320503199,1.433990528,1.616599046,1.653930576,1.681061855,1.661540682,1.575861579,1.608906859,1.632422113,1.658186313,1.528513401,1.549844574,1.573844827,1.600334474,1.629175392,1.670236987,1.703918249,1.739687704,1.615242915,1.64929659,1.691791554,1.733193138
1.958865205,1.062803609,1.151656441,1.254595489,1.416437033,1.452476701,1.479550799,1.465916075,1.394415915,1.426321924,1.449913191,1.475479123,1.329356633,1.349247901,1.371681259,1.396484079,1.423523541,1.461430429,1.493037851,1.526630298,1.4200977,1.452463113,1.493496635,1.533319501
1.447020873,1.016635661,1.09784929,1.192332806,1.340313395,1.372985078,1.397375161,1.383242045,1.314337009,1.343918875,1.365692197,1.389419837,1.235571027,1.253156154,1.27327113,1.295736396,1.320413174,1.355426039,1.384576533,1.415673759,1.315079192,1.345256702,1.382866094,1.419300403
1.61515748,1.009136438,1.089109204,1.182219257,1.314187113,1.344080374,1.366054909,1.350216826,1.280635611,1.308378316,1.328513855,1.350647408,1.20045974,1.209024724,1.22737732,1.248093871,1.271028605,1.304115202,1.331505326,1.360833579,1.271107842,1.290654368,1.32581664,1.359726736
1.614302501,1.017971887,1.099406615,1.194134857,1.318862749,1.340847684,1.36087032,1.34305823,1.271505034,1.297851345,1.316628962,1.337463909,1.193459469,1.196881626,1.211114547,1.230568593,1.252253364,1.284074142,1.310219076,1.338301879,1.256441971,1.269542834,1.300170926,1.332277578
1.616389456,1.032042932,1.115804311,1.213107611,1.333452074,1.350620845,1.369534994,1.350258093,1.27676289,1.302369942,1.320358755,1.340452789,1.200551277,1.203595855,1.213787084,1.232612933,1.253681149,1.284952993,1.310496065,1.337981049,1.259593086,1.272368484,1.29735313,1.328557499
0.101422389,1.052023806,1.139025984,1.239908861,1.354240182,1.36470392,1.38211193,1.36082354,1.284635976,1.309265771,1.326208481,1.34532666,1.210748636,1.213279524,1.217737479,1.235728989,1.255984355,1.286545432,1.311305932,1.338018555,1.264461741,1.276817412,1.294595969,1.324102926
0.364820683,2.608869706,2.664267343,2.781239401,3.113848376,2.900254424,2.872791774,2.758599107,2.523255654,2.524557519,2.509348254,2.499883235,2.573056489,2.561252852,2.552233005,2.54570358,2.541428833,2.547322201,2.547334798,2.549107383,2.511283639,2.51488144,2.517577801,2.507170079
0.267308312,2.814855302,2.887796974,3.025571595,3.367291939,3.130755336,3.099347351,2.974184945,2.71811855,2.718050767,2.700143594,2.688454044,2.781779277,2.768787194,2.758753035,2.751363588,2.746367084,2.752314506,2.751870472,2.753290369,2.711898923,2.715219499,2.717248183,2.705449406
0.310731337,3.143757367,3.241127963,3.408587175,3.77485659,3.504371935,3.467035491,3.324564087,3.035405553,3.03324136,3.011050336,2.995792215,3.122835282,3.108091634,3.096555328,3.087884559,3.081804467,3.087899889,3.086756379,3.087624734,3.040452644,3.043304368,3.044030635,3.02997151
0.303917864,3.201423785,3.310973272,3.49222486,3.851232984,3.580693991,3.544281182,3.400573937,3.107107813,3.106354786,3.085155543,3.071024821,3.19392242,3.179545692,3.168459613,3.160315991,3.154834956,3.161811077,3.161408815,3.16308041,3.115668342,3.119399396,3.122075538,3.109558543
0.295536911,3.115173397,3.218583049,3.392350529,3.766540007,3.531343014,3.502963436,3.369220965,3.088289346,3.092859699,3.077191399,3.06824699,3.164166486,3.152553307,3.144135542,3.138582876,3.135630202,3.144933921,3.149415775,3.171346272,3.10762174,3.113716264,3.12099267,3.113517348
0.279108939,2.944164322,3.033922201,3.191287938,3.563173596,3.355899818,3.333241316,3.210746749,2.948673224,2.956355703,2.944805852,2.939557543,3.009482209,2.999712467,2.99300772,2.989055687,2.987605967,2.997828602,3.016093485,3.039769615,2.967824019,2.975135873,2.984773598,2.980291513
0.278330404,2.936503611,3.025996666,3.183047702,3.553310521,3.346360476,3.323799439,3.201695304,2.940412957,2.94816173,2.936741941,2.931616273,3.000221515,2.990474705,2.983794195,2.979867662,2.978444673,2.988668748,3.006307674,3.030009195,2.958836324,2.966185399,2.975869266,2.971451068
0.288897103,3.040798131,3.133124189,3.294073371,3.674203728,3.447199606,3.420491104,3.291018296,3.017937237,3.023355017,3.009043591,3.001308647,3.08682965,3.07571993,3.06776685,3.062645311,3.060094449,3.069537361,3.07474428,3.096989357,3.034435389,3.040860456,3.048182335,3.041201806
0.293136226,3.084865623,3.180675871,3.345808997,3.728330053,3.496094884,3.468301218,3.336226206,3.058454402,3.063297841,3.048116958,3.039601709,3.131550591,3.120108605,3.111846416,3.106435704,3.103612981,3.11293695,3.117202344,3.139191068,3.076395991,3.082590876,3.089535069,3.082023532
0.521912564,3.185379249,3.289120736,3.463778033,3.854065823,3.612768517,3.583333462,3.446064045,3.158180272,3.162411669,3.145918234,3.136288069,3.239402734,3.227493197,3.218824699,3.213061775,3.209935162,3.219326657,3.225045702,3.24713925,3.180736289,3.186764034,3.193434278,3.185329899
2.215556203,3.779803205,3.927325102,4.155225005,4.604123056,4.317367957,4.280925843,4.115419203,3.769808592,3.772862671,3.751001107,3.737184793,3.892522731,3.878775101,3.86868459,3.86187164,3.858031542,3.871785459,3.893399572,3.918583856,3.822639097,3.828991076,3.835686708,3.826000124
2.214387419,3.836853394,3.988683782,4.221704177,4.67529308,4.383386344,4.346074755,4.177696625,3.826437152,3.829230477,3.806717561,3.79236759,3.95328794,3.939293848,3.92899737,3.922014431,3.918036683,3.932522835,3.954259321,3.979599011,3.881725406,3.888038546,3.894630341,3.884660303
1.909844668,3.643056487,3.779926868,3.994964612,4.440402987,4.174679923,4.142465963,3.985655041,3.654900536,3.660169169,3.641342336,3.630228185,3.766003918,3.75360842,3.74476463,3.739107107,3.736342639,3.759214103,3.782030328,3.80834105,3.70727019,3.714457853,3.722847785,3.71533399
2.180364625,3.440867786,3.563278189,3.760768987,4.19474045,3.95533281,3.92794964,3.782719339,3.47289913,3.480236094,3.464731788,3.456455371,3.569514167,3.55862461,3.551114065,3.546637859,3.544919601,3.57568407,3.599116073,3.62589835,3.522268646,3.530069376,3.540059594,3.534758267
2.15309412,1.84171036,1.854293241,1.966735683,2.870470352,2.787810758,2.790966962,2.712557298,2.519684369,2.542009422,2.548204857,2.558991896,2.52842852,2.527203847,2.54302776,2.563723211,2.587595316,2.6313339,2.661694536,2.6947432,2.563216289,2.576287395,2.56027812,2.528826928
1.99811755,1.445472288,1.560308457,1.553933826,1.895656526,1.929901056,1.95553665,1.926240848,1.819311236,1.852426661,1.874307481,1.898796743,1.801130254,1.823387006,1.848404693,1.875998118,1.906024977,1.950051731,1.985146412,2.02240033,1.871987268,1.906763648,1.949530128,1.991168403
1.989369941,1.355206296,1.456065756,1.572453446,1.77027448,1.79734827,1.820628673,1.792756171,1.692552275,1.723346411,1.743737619,1.766644168,1.655456252,1.675255199,1.697781115,1.722843411,1.750295013,1.790870502,1.82324663,1.857727617,1.724171874,1.75087344,1.789962809,1.828089814
1.985808803,1.298698163,1.389195498,1.494127615,1.692822952,1.716957578,1.739481605,1.713209806,1.617873713,1.647960338,1.66817471,1.690866314,1.565725383,1.58448389,1.606001317,1.630080375,1.656568468,1.695693764,1.727107365,1.760634861,1.638466929,1.660653166,1.698291093,1.735188753
1.649557522,1.242208905,1.324904343,1.421196988,1.617456459,1.640774079,1.662670619,1.63798208,1.547324396,1.576548038,1.596364291,1.618573091,1.487074668,1.50489274,1.52542885,1.548486306,1.573912795,1.611464252,1.641714082,1.674038326,1.560340405,1.579629255,1.615793262,1.65131542
1.941793185,1.172074367,1.24738829,1.335498239,1.527079242,1.553344837,1.575500612,1.55367127,1.469491564,1.498451834,1.518533798,1.540885433,1.401551891,1.418932095,1.438979663,1.4615012,1.486346917,1.522736202,1.552298092,1.583895184,1.476385272,1.496872708,1.532431172,1.567429185
1.628246402,1.114506608,1.18573268,1.269273352,1.454996082,1.486247776,1.509201011,1.490196677,1.411658451,1.44080492,1.461468298,1.484281343,1.340100734,1.357534076,1.377578281,1.40004553,1.424790464,1.460625552,1.489988076,1.521348925,1.41599676,1.440378218,1.47611234,1.511295032
2.098008558,1.149730634,1.221360963,1.305354385,1.49906959,1.527255049,1.549756882,1.529067168,1.447125395,1.476210692,1.496574965,1.519165932,1.377235351,1.394661073,1.414739145,1.437277764,1.46212841,1.498351727,1.527891001,1.55945623,1.452855852,1.474926541,1.510456421,1.54551191
2.241965797,1.215423102,1.295806847,1.389473596,1.593175702,1.627798268,1.65253566,1.631242274,1.544704975,1.575866114,1.597670713,1.621757577,1.490324348,1.509907566,1.532162174,1.556902129,1.583983914,1.623102144,1.654978523,1.688921467,1.565676369,1.598046351,1.636636429,1.674705988
1.635678064,1.208717071,1.291095254,1.387019065,1.619686452,1.660093673,1.690054074,1.673349886,1.590423846,1.625496083,1.65097289,1.678613787,1.550739512,1.573961086,1.599815573,1.628133372,1.658784742,1.701695512,1.737181754,1.774756901,1.650965778,1.68668886,1.730587996,1.774106859
0.315494232,2.271700186,2.300807167,2.386211181,2.789112077,2.721615994,2.727990484,2.654944886,2.470377715,2.494595719,2.503049151,2.515894899,2.472466362,2.48013045,2.498965559,2.521141091,2.546427691,2.59112534,2.622788661,2.657100393,2.518164465,2.531997428,2.554720909,2.566295905
0.345292688,2.586698377,2.645543575,2.766295964,3.207996612,3.141831929,3.151046957,3.068620618,2.857561174,2.886192893,2.896515339,2.911733904,2.892668975,2.912664082,2.936551415,2.964029928,2.994865026,3.047951554,3.085765656,3.126463254,2.943909089,2.960280967,2.988398719,3.004483629
1.786224062,2.843736624,2.922786657,3.067833503,3.546553161,3.478095608,3.488776381,3.397987045,3.164817339,3.1964066,3.207657524,3.224233346,3.230838119,3.254136053,3.281543509,3.312750313,3.3475153,3.406807274,3.449035569,3.494335361,3.279997807,3.298140169,3.329691461,3.348604824
